2025-10-26 11:00:31 - IP: 79.95.127.51 - connexion - Page: https://leclatdanjou.fr/ - Localisation: La Rochelle, Nouvelle-Aquitaine, France
2025-10-26 11:00:38 - IP: 79.95.127.51 - connexion - Page: https://leclatdanjou.fr/ - Localisation: La Rochelle, Nouvelle-Aquitaine, France
2025-10-26 11:09:05 - IP: 79.95.127.51 - connexion - Page: https://leclatdanjou.fr/mobile.html - Localisation: La Rochelle, Nouvelle-Aquitaine, France
2025-10-26 11:09:10 - IP: 66.249.93.231 - connexion - Page: https://leclatdanjou.fr/mobile.html - Localisation: Mountain View, California, United States
2025-10-26 11:10:02 - IP: 79.95.127.51 - connexion - Page: https://leclatdanjou.fr/mobile.html - Localisation: La Rochelle, Nouvelle-Aquitaine, France
2025-10-26 11:32:45 - IP: 79.95.127.51 - connexion - Page: https://leclatdanjou.fr/mobile.html - Localisation: La Rochelle, Nouvelle-Aquitaine, France
2025-10-26 16:45:34 - IP: 79.95.127.51 - connexion - Page: https://leclatdanjou.fr/mobile.html - Localisation: La Rochelle, Nouvelle-Aquitaine, France
2025-10-28 02:04:17 - IP: 66.249.73.233 - connexion - Page: https://leclatdanjou.fr/mobile.html - Localisation: Mountain View, California, United States
2025-10-28 11:09:09 - IP: 62.102.248.87 - connexion - Page: https://www.leclatdanjou.fr/ - Localisation: Maxéville, Grand Est, France
2025-10-28 11:09:09 - IP: 62.102.248.87 - connexion - Page: https://www.leclatdanjou.fr/ - Localisation: Maxéville, Grand Est, France
2025-10-28 11:09:43 - IP: 62.102.248.87 - connexion - Page: https://www.leclatdanjou.fr/ - Localisation: Maxéville, Grand Est, France
2025-10-29 04:18:32 - IP: 91.250.249.150 - connexion - Page: https://leclatdanjou.fr/ - Localisation: Dublin, Leinster, Ireland
2025-10-29 04:18:32 - IP: 91.250.249.150 - connexion - Page: https://leclatdanjou.fr/ - Localisation: Dublin, Leinster, Ireland
2025-10-29 04:18:35 - IP: 91.250.249.150 - connexion - Page: https://leclatdanjou.fr/ - Localisation: Dublin, Leinster, Ireland
2025-10-29 09:04:57 - IP: 64.71.166.35 - connexion - Page: https://leclatdanjou.fr/ - Localisation: Delaware, Ohio, United States
2025-10-29 09:05:00 - IP: 64.71.166.35 - connexion - Page: https://leclatdanjou.fr/ - Localisation: Delaware, Ohio, United States
2025-10-29 09:05:05 - IP: 64.71.166.35 - connexion - Page: https://leclatdanjou.fr/ - Localisation: Delaware, Ohio, United States
2025-10-29 09:30:01 - IP: 79.95.87.198 - connexion - Page: https://leclatdanjou.fr/mobile.html - Localisation: Nantes, Pays de la Loire, France
2025-10-29 09:30:07 - IP: 66.102.9.41 - connexion - Page: https://leclatdanjou.fr/mobile.html - Localisation: Mountain View, California, United States
2025-10-29 10:27:03 - IP: 64.71.166.35 - connexion - Page: https://leclatdanjou.fr/ - Localisation: Delaware, Ohio, United States
2025-10-29 10:27:03 - IP: 64.71.166.35 - connexion - Page: https://leclatdanjou.fr/ - Localisation: Delaware, Ohio, United States
2025-10-29 10:27:06 - IP: 64.71.166.35 - connexion - Page: https://leclatdanjou.fr/ - Localisation: Delaware, Ohio, United States
2025-10-29 10:33:55 - IP: 64.71.166.35 - connexion - Page: https://leclatdanjou.fr/ - Localisation: Delaware, Ohio, United States
2025-10-29 10:33:57 - IP: 64.71.166.35 - connexion - Page: https://leclatdanjou.fr/ - Localisation: Delaware, Ohio, United States
2025-10-29 10:33:59 - IP: 64.71.166.35 - connexion - Page: https://leclatdanjou.fr/ - Localisation: Delaware, Ohio, United States
2025-10-29 10:55:04 - IP: 79.95.87.198 - connexion - Page: https://leclatdanjou.fr/mobile.html - Localisation: Nantes, Pays de la Loire, France
2025-10-29 11:15:10 - IP: 64.71.166.35 - connexion - Page: https://leclatdanjou.fr/mobile.html - Localisation: Delaware, Ohio, United States
2025-10-30 10:30:32 - IP: 64.71.166.35 - connexion - Page: https://leclatdanjou.fr/ - Localisation: Delaware, Ohio, United States
2025-10-30 10:30:32 - IP: 64.71.166.35 - connexion - Page: https://leclatdanjou.fr/ - Localisation: Delaware, Ohio, United States
2025-10-30 10:38:38 - IP: 66.249.83.13 - connexion - Page: https://www.leclatdanjou.fr/mobile.html - Localisation: Mountain View, California, United States
2025-10-30 14:36:58 - IP: 155.4.131.116 - connexion - Page: https://leclatdanjou.fr/mobile.html - Localisation: Malmo, Skåne County, Sweden
2025-10-30 14:37:43 - IP: 191.101.31.34 - connexion - Page: https://leclatdanjou.fr/mobile.html - Localisation: Paris, Île-de-France, France
2025-10-30 14:40:31 - IP: 185.243.76.40 - connexion - Page: https://leclatdanjou.fr/mobile.html - Localisation: Dubai, Dubai, United Arab Emirates
2025-10-30 17:24:03 - IP: 149.57.180.162 - connexion - Page: https://leclatdanjou.fr/ - Localisation: New York, New York, United States
2025-10-30 17:24:04 - IP: 149.57.180.162 - connexion - Page: https://leclatdanjou.fr/ - Localisation: New York, New York, United States
2025-10-30 17:24:14 - IP: 149.57.180.162 - connexion - Page: https://leclatdanjou.fr/ - Localisation: New York, New York, United States
2025-10-31 02:12:37 - IP: 66.249.70.68 - connexion - Page: https://leclatdanjou.fr/mobile.html - Localisation: Mountain View, California, United States
2025-10-31 18:46:10 - IP: 82.124.22.44 - connexion - Page: https://www.leclatdanjou.fr/ - Localisation: Mantes-la-Jolie, Île-de-France, France
2025-10-31 18:46:10 - IP: 82.124.22.44 - connexion - Page: https://www.leclatdanjou.fr/ - Localisation: Mantes-la-Jolie, Île-de-France, France
2025-10-31 18:46:10 - IP: 82.124.22.44 - connexion - Page: https://www.leclatdanjou.fr/ - Localisation: Mantes-la-Jolie, Île-de-France, France
2025-11-01 09:46:43 - IP: 88.178.29.240 - connexion - Page: https://leclatdanjou.fr/ - Localisation: Nantes, Pays de la Loire, France
